,Words,Frequency
0,ad,1
1,RedRawOnions,1
2,TheKitchen,1
3,RestaurantImpossible,1
4,likeforlikes,1
5,like4likes,1
6,likeforfollow,1
7,likeforlikeback,1
8,follow4followback,1
9,follow,1
10,MADDYCOOKSğŸ’,1
11,bringme,1
12,portlandtravel,1
13,sushirestuarant,1
14,sushi,1
15,oregontravel,1
16,sustainability,1
17,halal,1
18,nyc,3
19,nycfood,1
20,LegendaryEats,1
21,streetfood,1
22,FoodInsider,7
23,sauce,1
24,condiment,1
25,ketchup,1
26,sugar,1
27,pizza,2
28,pizzaBK,1
29,food,6
30,hotdogsğŸŒ­,1
31,hotdog,1
32,Chicago,1
33,Chicagodogs,1
34,Paris,1
35,baguette,1
36,bread,1
37,Frenchfood,1
38,Brooklyn,1
39,nycfoodies,1
40,gadgets,1
41,foodprep,1
42,tools,1
43,croissant,1
44,cereal,1
45,breakfast,1
46,dessert,1
47,dining,1
48,Noma,1
49,copenhagenğŸ‡©ğŸ‡°,1
50,burgers,1
51,bananabread,1
52,baking,1
53,FoodNetworkKitchen,9
54,4,1
55,CraveWorthyEats,1
56,dilsefoodie,10
57,SocialMaxAwards2020,1
58,NowMax,1
59,worldsocialmediaday,1
60,firstonlinesocialmediaawards,1
61,stayhome,1
62,staysafe,1
63,FoodFood,2
64,Fishcurry,1
65,Biryani,1
66,biryani,1
67,ğŸ˜‹ğŸ‘ŒğŸ¼,1
68,chickenrarra,1
69,BhookNow,1
70,ShahjiDesiGhee,1
71,paneer,1
72,Ask,1
